No,Title,Artist,From,Got,Sorted,location,filename
146,Kids in America,The Muffs,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Muffs - Kids in America,The Muffs - Kids in America
147,Come Out and Play (Keep 'Em Separated),The Offspring,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Offspring - Come Out and Play (Keep 'Em Separated),The Offspring - Come Out and Play (Keep 'Em Separated)
148,Alex Chilton,The Replacements,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Replacements - Alex Chilton,The Replacements - Alex Chilton
149,Today,The Smashing Pumpkins,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Smashing Pumpkins - Today,The Smashing Pumpkins - Today
150,Supreme Girl,The Sterns,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Sterns - Supreme Girl,The Sterns - Supreme Girl
151,Pinball Wizard,The Who,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Who - Pinball Wizard,The Who - Pinball Wizard
152,Kids in the Street,All-American Rejects,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All-American Rejects - Kids in the Street,All-American Rejects - Kids in the Street
153,So Far Away,Avenged Sevenfold,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Avenged Sevenfold - So Far Away,Avenged Sevenfold - So Far Away
154,One Week,Barenaked Ladies,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Barenaked Ladies - One Week,Barenaked Ladies - One Week
155,Always,Blink-182,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Blink-182 - Always,Blink-182 - Always
156,Shine,Collective Soul,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Collective Soul - Shine,Collective Soul - Shine
157,I'm Still Standing,Elton John,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Elton John - I'm Still Standing,Elton John - I'm Still Standing
158,"A Little Less Sixteen Candles, a Little More Touch Me",Fall Out Boy,RockBandBlitz,Yes,Yes,"/media/gary/exData/xbox/RockBand/ToSort/Fall Out Boy - A Little Less Sixteen Candles, a Little More Touch Me","Fall Out Boy - A Little Less Sixteen Candles, a Little More Touch Me"
159,These Days,Foo Fighters,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - These Days,Foo Fighters - These Days
160,Pumped Up Kicks,Foster the People,RockBandBlitz,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foster the People - Pumped Up Kicks,Foster the People - Pumped Up Kicks
